,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3063,3169901,Ubá,MG,525.1720977596741,594.2442662779397,543.4289601554908,578.2183808553971,561.7103984450923
3064,3170008,Ubaí,MG,470.2711111111111,533.7041379310346,490.84000000000003,499.8355555555556,443.17241379310343
3065,3170057,Ubaporanga,MG,491.874,563.7696969696971,519.1871212121212,542.0424,545.2272727272727
3066,3170107,Uberaba,MG,521.2519834973025,591.7372141997594,548.0195848375452,568.773976515392,568.6311672683514
3067,3170206,Uberlândia,MG,517.5751845076642,591.1808727447102,547.5269076305221,563.5347568283605,567.2289156626506
3068,3170305,Umburatiba,MG,465.2911764705882,513.4323529411765,487.86764705882354,505.7647058823529,477.05882352941177
3069,3170404,Unaí,MG,485.52095088819226,555.9060412573674,516.33894891945,521.3080459770115,473.8506876227898
3070,3170438,União de Minas,MG,462.5282051282051,548.6666666666666,507.14285714285717,517.2025641025641,536.6666666666666
3071,3170479,Uruana de Minas,MG,453.684,531.875,483.08125,504.6506666666667,469.75
3072,3170503,Urucânia,MG,493.8757575757576,564.1797101449275,513.2028985507246,528.6780303030303,520.7246376811594
3073,3170529,Urucuia,MG,467.1664285714286,516.9682926829269,486.84878048780485,498.07571428571435,443.1707317073171
3074,3170578,Vargem Alegre,MG,489.8594936708861,561.7123456790123,513.8160493827161,533.1677215189874,513.7037037037037
3075,3170602,Vargem Bonita,MG,460.0648648648649,539.2105263157895,507.66842105263163,509.54594594594596,444.2105263157895
3076,3170651,Vargem Grande do Rio Pardo,MG,481.8388888888889,534.8684210526316,507.2915789473684,542.7866666666667,481.2631578947368
3077,3170701,Varginha,MG,515.3340524534686,590.6403684421306,550.2547056467762,574.0522842639595,566.7040448538246
3078,3170750,Varjão de Minas,MG,480.146875,564.9779411764706,517.9044117647059,523.1296875,504.11764705882354
3079,3170800,Várzea da Palma,MG,488.4077834179357,559.4707740916272,517.3491311216429,531.184771573604,483.50710900473933
3080,3170909,Varzelândia,MG,471.4270758122744,542.6440972222222,496.11736111111105,515.1285198555956,464.65277777777777
3081,3171006,Vazante,MG,494.9303296703296,567.2445628997868,518.6931769722814,546.5771428571429,545.2452025586354
3082,3171030,Verdelândia,MG,441.66525423728814,500.40999999999997,467.55916666666667,470.22118644067797,399.0
3083,3171071,Veredinha,MG,480.5320895522388,557.2006944444444,509.09999999999997,523.665671641791,478.8888888888889
3084,3171105,Veríssimo,MG,488.30967741935484,552.6500000000001,500.2194444444445,524.6516129032258,433.8888888888889
3085,3171154,Vermelho Novo,MG,489.09791666666666,556.914705882353,503.39313725490194,550.2770833333333,518.0392156862745
3086,3171204,Vespasiano,MG,497.84461920529805,572.3242389210019,531.5577263969171,534.589155629139,492.2157996146436
3087,3171303,Viçosa,MG,533.4151735858218,603.2832554880897,553.2833956095283,591.6672250546249,591.5179822512845
